Block,Sample_no,Site,Position,Date,DBH_cm,AntRes_1min,NumSpines_distal60cm,DiamLargestSpine_mm,Leaf1_Rachis_cm,Leaf1_NumEFN,Leaf1_LengthEFN_mm,Leaf2_Rachis_cm,Leaf2_NumEFN,Leaf2_LengthEFN_mm,Leaf3_Rachis_cm,Leaf3_NumEFN,Leaf3_LengthEFN_mm,Mean_Rachis_cm,Mean_LengthEFN_mm,log_AntRes,DBH_rel_to_median
B4,6,BAGATZI,DOWNSTREAM,1/28/13,2.1,2,24,6,9.3,2,4.2,7.9,2,6,4.9,2,3.6,7.366666667,4.6,0.693147181,Above
B4,7,BAGATZI,DOWNSTREAM,1/28/13,6.4,19,15,9,4.45,2,3.4,4,3,4,2.7,2,2.8,3.716666667,3.4,2.944438979,Above
B4,8,BAGATZI,DOWNSTREAM,1/28/13,3.9,10,24,10,16.3,2,3,9.85,3,3.8,4.8,1,2.2,10.31666667,3,2.302585093,Above
B4,9,BAGATZI,DOWNSTREAM,1/28/13,2,31,24,8,7.3,2,3.1,6.7,2,3.9,5.9,3,4.9,6.633333333,3.966666667,3.433987205,Below
B4,10,BAGATZI,DOWNSTREAM,1/28/13,2.4,5,18,7,10,3,4.9,8.55,3,5.1,5,2,3.2,7.85,4.4,1.609437912,Above
B5,1,BAGATZI,DOWNSTREAM,1/28/13,0.3,0,22,7,12.05,3,3.4,8.2,3,3.3,4.95,2,2.1,8.4,2.933333333,,Below
B5,2,BAGATZI,DOWNSTREAM,1/28/13,5.6,29,18,9,7,3,4.2,4.9,3,3.3,3.9,1,1.8,5.266666667,3.1,3.36729583,Above
B5,3,BAGATZI,DOWNSTREAM,1/28/13,3.7,0,18,11,4.5,2,2.4,4.3,1,1.3,4.2,3,2.7,4.333333333,2.133333333,,Above
B5,4,BAGATZI,DOWNSTREAM,1/28/13,3.4,0,16,6.5,9.4,2,4,7.9,3,4.1,7.4,1,2.3,8.233333333,3.466666667,,Above
B5,5,BAGATZI,DOWNSTREAM,1/28/13,7.2,4,16,5,7.2,4,6,3.1,3,6.5,3.5,3,4,4.6,5.5,1.386294361,Above
B5,6,BAGATZI,DOWNSTREAM,1/28/13,0.25,1,31,5,7,2,3.8,5.2,1,1.3,4.85,2,1.8,5.683333333,2.3,0,Below
B5,7,BAGATZI,DOWNSTREAM,1/28/13,1.65,0,18,6,7.2,3,3.3,3.7,2,1.9,2.65,1,1.6,4.516666667,2.266666667,,Below
B5,8,BAGATZI,DOWNSTREAM,1/28/13,2.8,5,24,6,8.1,4,4.1,5.5,3,2.3,2.4,2,1.8,5.333333333,2.733333333,1.609437912,Above
B5,9,BAGATZI,DOWNSTREAM,1/28/13,1.3,1,18,7.5,6.4,3,3.3,5.2,3,3,5.6,3,2.9,5.733333333,3.066666667,0,Below
B5,10,BAGATZI,DOWNSTREAM,1/28/13,8.8,1,16,6.5,4.1,3,2.1,4.1,2,2.7,3.4,2,2.1,3.866666667,2.3,0,Above
B6,1,BAGATZI,DOWNSTREAM,1/28/13,3.9,0,12,5,5.2,3,3.5,5.4,3,3.9,2.4,2,2.7,4.333333333,3.366666667,,Above
B6,2,BAGATZI,DOWNSTREAM,1/28/13,3.8,7,24,13,1.7,3,4.6,2.1,3,3.6,1.5,3,3.2,1.766666667,3.8,1.945910149,Above
B6,3,BAGATZI,DOWNSTREAM,1/28/13,0.2,45,22,8,10.3,3,3.9,9.4,4,3.8,9,3,3.9,9.566666667,3.866666667,3.80666249,Below
B6,4,BAGATZI,DOWNSTREAM,1/28/13,4.9,9,22,7,7.8,3,5.7,3.7,1,1.5,4.4,3,3.2,5.3,3.466666667,2.197224577,Above
B6,5,BAGATZI,DOWNSTREAM,1/28/13,5.1,8,24,9,7.05,5,6.9,7.7,4,5.2,5.8,3,3.8,6.85,5.3,2.079441542,Above
B6,6,BAGATZI,DOWNSTREAM,1/28/13,0.9,4,30,5,6.9,3,4,5.7,3,2.7,2.9,3,2.4,5.166666667,3.033333333,1.386294361,Below
B6,7,BAGATZI,DOWNSTREAM,1/28/13,0.8,1,19,4.5,6.2,2,3.1,5.05,3,2.8,2.7,2,2.5,4.65,2.8,0,Below
B6,8,BAGATZI,DOWNSTREAM,1/19/13,1.1,3,32,7,7.55,3,6.5,6.9,3,3.9,5.6,3,3.9,6.683333333,4.766666667,1.098612289,Below
B6,9,BAGATZI,DOWNSTREAM,1/19/13,0.6,28,32,5.5,4.45,3,2.7,4,3,2.5,3.4,3,2.8,3.95,2.666666667,3.33220451,Below
B6,10,BAGATZI,DOWNSTREAM,1/19/13,1.72,37,28,5,5.4,4,4.6,3.95,4,3.6,3.3,4,2.9,4.216666667,3.7,3.610917913,Below
F1,1,FALCONEANA,UPSTREAM,1/30/13,1.2,52,,,8.3,3,3.8,4.5,3,4.1,3.8,1,2,5.533333333,3.3,3.951243719,Below
F1,2,FALCONEANA,UPSTREAM,1/30/13,4.9,56,,,3.5,3,4.2,3.9,1,3,1.9,2,3,3.1,3.4,4.025351691,Above
F1,3,FALCONEANA,UPSTREAM,1/30/13,1.4,65,,,4.8,2,2.1,7.75,1,1.9,8,3,2.9,6.85,2.3,4.17438727,Below
F1,4,FALCONEANA,UPSTREAM,1/30/13,4.1,5,,,3.4,4,5.4,2.25,2,3.4,3,4,4.9,2.883333333,4.566666667,1.609437912,Above
F1,5,FALCONEANA,UPSTREAM,1/30/13,3.9,0,,,7.1,2,4.9,3.3,1,1.7,2.9,1,1.6,4.433333333,2.733333333,,Above
F1,6,FALCONEANA,UPSTREAM,1/30/13,7.3,3,,,6.4,3,3.7,5.7,2,3,4.5,2,2.3,5.533333333,3,1.098612289,Above
F1,7,FALCONEANA,UPSTREAM,1/30/13,0.2,0,,,5.4,1,2.1,3.5,1,2.9,1.6,1,2.3,3.5,2.433333333,,Below
F1,8,FALCONEANA,UPSTREAM,1/30/13,5.4,2,,,8.3,4,5.8,9.4,4,4.9,6.3,4,3.9,8,4.866666667,0.693147181,Above
F1,9,FALCONEANA,UPSTREAM,1/30/13,6,0,,,6.3,3,5.1,4,3,4.3,2.2,2,2.9,4.166666667,4.1,,Above
F1,10,FALCONEANA,UPSTREAM,1/30/13,3.8,0,,,4.45,3,3.8,3.1,3,3.2,2.9,1,1.8,3.483333333,2.933333333,,Above
